,Season,Name,Salary,Pos,Age,Team,GP,GS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG%,3P%,2P%,eFG%,FT%,GS/GP,MPG,ORPG,DRPG,RPG,APG,SPG,BPG,TPG,PFPG,PPG,FGPG,FGAPG,3PPG,3PAPG,2PPG,2PAPG,FTPG,FTAPG,Cap,% of Cap
7298,2008.0,Mike Dunleavy,9000000.0,2.0,27.0,IND,82.0,82.0,17.3,0.605,0.348,0.361,2.1,13.7,7.8,16.1,1.4,0.8,12.8,21.8,5.9,2.6,8.5,0.138,2.5,-0.4,2.1,3.1,0.47600000000000003,0.424,0.504,0.55,0.8340000000000001,1.0,36.01219512195122,0.7195121951219512,4.451219512195122,5.170731707317073,3.5121951219512195,1.048780487804878,0.3780487804878049,2.317073170731707,2.5365853658536586,19.085365853658537,6.487804878048781,13.621951219512194,2.0121951219512195,4.7439024390243905,4.475609756097561,8.878048780487806,4.097560975609756,4.914634146341464,58680000,15.337423312883436
7301,2008.0,Mike James,6244093.0,1.0,32.0,HOU,33.0,1.0,9.6,0.44,0.327,0.18600000000000003,2.3,8.5,5.5,16.4,1.7,0.3,10.6,23.3,-0.3,0.7,0.4,0.037000000000000005,-3.0,-1.1,-4.0,-0.3,0.35,0.324,0.36200000000000004,0.40299999999999997,0.7859999999999999,0.030303030303030304,16.272727272727273,0.3333333333333333,1.2424242424242424,1.5757575757575757,1.6363636363636365,0.5151515151515151,0.06060606060606061,0.8787878787878788,1.3333333333333333,6.515151515151516,2.393939393939394,6.848484848484849,0.7272727272727273,2.242424242424242,1.6666666666666667,4.606060606060606,1.0,1.2727272727272727,58680000,10.640921949556919
7302,2008.0,Mike James,6244093.0,1.0,32.0,NOP,21.0,0.0,5.7,0.428,0.359,0.094,1.9,9.2,5.4,4.8,1.2,0.0,9.5,18.7,-0.2,0.1,-0.1,-0.018000000000000002,-4.8,-2.3,-7.1,-0.2,0.344,0.304,0.366,0.39799999999999996,1.0,0.0,8.714285714285714,0.14285714285714285,0.6666666666666666,0.8095238095238095,0.2857142857142857,0.19047619047619047,0.0,0.3333333333333333,0.5714285714285714,2.7142857142857144,1.0476190476190477,3.0476190476190474,0.3333333333333333,1.0952380952380953,0.7142857142857143,1.9523809523809523,0.2857142857142857,0.2857142857142857,58680000,10.640921949556919
7303,2008.0,Mike Miller,9028575.0,2.0,27.0,MEM,70.0,70.0,16.1,0.625,0.436,0.257,2.3,19.0,10.6,16.0,0.7,0.5,16.6,19.8,3.9,1.1,5.0,0.098,2.2,-0.8,1.4,2.1,0.502,0.43200000000000005,0.557,0.596,0.774,1.0,35.34285714285714,0.7285714285714285,5.942857142857143,6.671428571428572,3.4285714285714284,0.5,0.22857142857142856,2.6,2.0714285714285716,16.385714285714286,5.914285714285715,11.771428571428572,2.2142857142857144,5.128571428571429,3.7,6.642857142857143,2.342857142857143,3.0285714285714285,58680000,15.38611963190184
7308,2008.0,Mikki Moore,5632200.0,4.0,32.0,SAC,82.0,79.0,11.5,0.613,0.004,0.37200000000000005,8.1,16.2,12.2,5.4,0.7,1.5,16.2,12.7,3.2,1.4,4.6,0.092,-0.7,-0.1,-0.8,0.7,0.5770000000000001,0.0,0.579,0.5770000000000001,0.736,0.9634146341463414,29.085365853658537,1.951219512195122,4.073170731707317,6.024390243902439,1.024390243902439,0.4268292682926829,0.5609756097560976,1.3414634146341464,3.7804878048780486,8.512195121951219,3.4390243902439024,5.963414634146342,0.0,0.024390243902439025,3.4390243902439024,5.939024390243903,1.6341463414634145,2.2195121951219514,58680000,9.598159509202455
7309,2008.0,Mo Williams,8353000.0,1.0,25.0,MIL,66.0,66.0,17.0,0.5660000000000001,0.251,0.21100000000000002,1.7,9.8,5.6,30.0,1.7,0.3,15.3,22.1,4.1,0.5,4.5,0.091,2.6,-2.3,0.2,1.4,0.48,0.385,0.512,0.528,0.856,1.0,36.515151515151516,0.5606060606060606,2.9242424242424243,3.484848484848485,6.348484848484849,1.1818181818181819,0.15151515151515152,2.757575757575758,2.8484848484848486,17.227272727272727,6.681818181818182,13.924242424242424,1.3484848484848484,3.5,5.333333333333333,10.424242424242424,2.515151515151515,2.9393939393939394,58680000,14.234832992501703
7312,2008.0,Morris Peterson,5592240.0,2.0,30.0,NOP,76.0,76.0,11.2,0.5489999999999999,0.556,0.165,2.3,11.3,6.7,5.5,1.4,0.3,6.9,15.4,2.1,1.7,3.8,0.10099999999999999,0.5,-0.6,-0.1,0.9,0.41700000000000004,0.39399999999999996,0.445,0.526,0.765,1.0,23.63157894736842,0.47368421052631576,2.236842105263158,2.710526315789474,0.881578947368421,0.618421052631579,0.09210526315789473,0.5394736842105263,1.644736842105263,8.0,2.8289473684210527,6.7894736842105265,1.486842105263158,3.776315789473684,1.3421052631578947,3.013157894736842,0.8552631578947368,1.118421052631579,58680000,9.530061349693252
7314,2008.0,Nate Robinson,2020179.0,1.0,23.0,NYK,72.0,17.0,15.3,0.526,0.373,0.251,3.0,10.7,6.7,19.7,1.7,0.0,10.6,23.1,2.5,0.7,3.2,0.08199999999999999,2.0,-2.1,0.0,0.9,0.423,0.332,0.478,0.485,0.7859999999999999,0.2361111111111111,26.15277777777778,0.7083333333333334,2.375,3.0833333333333335,2.9444444444444446,0.8333333333333334,0.013888888888888888,1.4305555555555556,2.5833333333333335,12.680555555555555,4.597222222222222,10.86111111111111,1.3472222222222223,4.055555555555555,3.25,6.805555555555555,2.138888888888889,2.7222222222222223,58680000,3.442704498977505
7318,2008.0,Nenad Krstic,4778548.0,5.0,24.0,BRK,45.0,38.0,8.5,0.451,0.006999999999999999,0.23,5.0,23.6,14.3,5.8,0.6,1.6,11.0,20.9,-0.9,0.7,-0.1,-0.006999999999999999,-6.9,-1.7,-8.5,-1.3,0.41,0.0,0.413,0.41,0.754,0.8444444444444444,18.044444444444444,0.7777777777777778,3.6666666666666665,4.444444444444445,0.6,0.2,0.37777777777777777,0.9111111111111111,2.466666666666667,6.622222222222222,2.7333333333333334,6.666666666666667,0.0,0.044444444444444446,2.7333333333333334,6.622222222222222,1.1555555555555554,1.5333333333333334,58680000,8.143401499659168
7320,2008.0,Nick Collison,6350000.0,4.0,27.0,OKC,78.0,35.0,15.0,0.537,0.003,0.261,12.5,23.3,17.9,7.9,1.1,1.9,14.2,16.2,2.2,2.3,4.5,0.098,-0.9,1.5,0.6,1.4,0.502,0.0,0.504,0.502,0.737,0.44871794871794873,28.5,3.2564102564102564,6.102564102564102,9.35897435897436,1.4487179487179487,0.6025641025641025,0.7692307692307693,1.5128205128205128,3.2051282051282053,9.833333333333334,4.128205128205129,8.217948717948717,0.0,0.02564102564102564,4.128205128205129,8.192307692307692,1.5769230769230769,2.141025641025641,58680000,10.821404226312202
